model,score,size(MB),SPS,train speed,inf speed,used_cpu,used_cpu_mem,used_gpu,used_gpu_mem,stsb,cola,mnli,mrpc,qnli,qqp,rte,sst2,wnli
wttm-bert-base-uncased-10-297104,0.2766,202.592,470.358,0.2251,0.0681,12.3531,2682.0,16.0,1369.0,0.0161,0.0,,,,,0.5271,,0.5634
wttm-bert-base-uncased-10-39512,0.2594,202.592,466.99,0.2564,0.0681,14.6844,2675.0,19.0,1369.0,0.0011,0.0,,,,,0.4729,,0.5634
wttm-bert-base-uncased-10-585534,0.2857,202.592,467.6492,0.2416,0.0682,7.8844,2672.0,19.0,1369.0,0.0524,0.0,,,,,0.5271,,0.5634
wttm-bert-base-uncased-10-743580,0.2778,202.592,456.0782,0.2281,0.0696,18.0625,2674.0,18.0,1369.0,0.0206,0.0,,,,,0.5271,,0.5634
wttm-bert-base-uncased-10-814084,0.2651,202.592,467.5912,0.2562,0.068,6.175,2677.0,17.0,1369.0,-0.03,0.0,,,,,0.5271,,0.5634
wttm-bert-base-uncased-60-297104,0.2686,218.717,390.9575,0.2551,0.0784,6.1906,2728.0,10.5,1409.0,-0.016,0.0,,,,,0.5271,,0.5634
wttm-bert-base-uncased-60-39512,0.269,218.717,400.0205,0.2231,0.0642,9.2656,2726.0,23.0,1409.0,0.0399,0.0,,,,,0.4729,,0.5634
wttm-bert-base-uncased-60-585534,0.2657,218.717,482.6012,0.2206,0.063,37.0969,2722.0,11.0,1409.0,-0.0275,0.0,,,,,0.5271,,0.5634
wttm-bert-base-uncased-60-743580,0.2821,218.717,482.278,0.2227,0.064,17.7563,2722.0,13.0,1409.0,0.0379,0.0,,,,,0.5271,,0.5634
wttm-bert-base-uncased-60-814084,0.2668,218.717,369.7818,0.2451,0.0752,15.4344,2721.0,12.0,1409.0,-0.0232,0.0,,,,,0.5271,,0.5634
wttm-sqrt-bert-base-uncased-10-297104,0.476,202.592,450.4682,0.2518,0.0697,6.1813,2675.0,17.0,1369.0,0.8135,0.0,,,,,0.5271,,0.5634
wttm-sqrt-bert-base-uncased-10-39512,0.491,202.592,465.4728,0.2413,0.0678,18.5406,2672.0,19.0,1369.0,0.805,0.0,,,,,0.5957,,0.5634
wttm-sqrt-bert-base-uncased-10-585534,0.4964,202.592,454.364,0.2276,0.0696,29.15,2676.0,18.0,1369.0,0.8104,0.0738,,,,,0.5379,,0.5634
wttm-sqrt-bert-base-uncased-10-743580,0.4744,202.592,459.6082,0.228,0.0694,18.2781,2678.0,18.0,1369.0,0.807,0.0,,,,,0.5271,,0.5634
wttm-sqrt-bert-base-uncased-10-814084,0.4901,202.592,456.6418,0.2312,0.0696,37.15,2673.0,18.0,1369.0,0.8163,-0.0041,,,,,0.5848,,0.5634
wttm-sqrt-bert-base-uncased-60-297104,0.4731,218.717,495.3442,0.2225,0.064,23.5344,2725.0,26.0,1409.0,0.8021,0.0,,,,,0.5271,,0.5634
wttm-sqrt-bert-base-uncased-60-39512,0.493,218.717,382.313,0.2402,0.0737,6.1875,2733.0,25.0,1409.0,0.8237,0.0,,,,,0.5848,,0.5634
wttm-sqrt-bert-base-uncased-60-585534,0.4747,218.717,397.5768,0.2255,0.0647,20.0219,2721.0,22.0,1409.0,0.8085,0.0,,,,,0.5271,,0.5634
wttm-sqrt-bert-base-uncased-60-743580,0.4821,218.717,392.8758,0.2493,0.0768,6.1813,2726.0,21.0,1409.0,0.8019,0.0,,,,,0.5632,,0.5634
wttm-sqrt-bert-base-uncased-60-814084,0.4809,218.717,513.1168,0.2138,0.0613,6.1844,2721.0,25.0,1409.0,0.8008,0.0,,,,,0.5596,,0.5634
